y
0.37793
0.27789
0.30626
0.36241
0.46077
0.5311
0.5595
0.56562
0.57171
0.56842
0.56974
0.55784
0.57369
0.58008
0.5899
0.59503
0.60445
0.61263
0.61441
0.61807
0.6397
0.64636
0.66128
0.66727
0.67274
0.68083
0.69403
0.69681
0.70595
0.70759
0.71717
0.72464
0.73518
0.7581
0.75558
0.75953
0.76828
0.77737
0.78183
0.7874
0.79672
0.79113
0.79979
0.80684
0.81588
0.81323
0.81026
0.81599
0.82823
0.82715
